9/20/2022 "_messagetimems","_messagetime","_raw","cluster","_collector","container","deployment","environment","host","log_level","logtype","namespace","node","pod","provider","region","service","_size","_source","_sourcecategory","_sourcehost","_sourcename","tier"
"1662054357809","09/01/2022 10:45:57.809 -0700","{""timestamp"":1662054357809,""log"":""{\""instant\"":{\""epochSecond\"":1662054357,\""nanoOfSecond\"":806889000},\""thread\"":\""cr-jetty-455\"",\""level\"":\""ERROR\"",\""loggerName\"":\""com.automationanywhere.common.util.logutil.LogUtil\"",\""message\"":\""traceId:dc7b7ad64dbfb048 spanId:dc7b7ad64dbfb048 url:https://canary21.aaedev.supremomono.com/v2/repository/folders/165843 method:POST code:500 responsebody:{\\\""code\\\"":\\\""generic.server.exception\\\"",\\\""details\\\"":null,\\\""message\\\"":\\\""An unexpected problem occurred\\\""}\"",\""thrown\"":{\""commonElementCount\"":0,\""localizedMessage\"":\""An unexpected problem occurred\"",\""message\"":\""An unexpected problem occurred\"",\""name\"":\""com.automationanywhere.common.validation.DetailedException\"",\""cause\"":{\""commonElementCount\"":55,\""localizedMessage\"":\""could not execute batch; SQL [update dbo.FOLDER_ATTRIBUTES set tenant_id=?, updated_by=?, updated_on=?, version=?, file_id=?, folder_count=? where id=? and version=?]; nested exception is org.hibernate.exception.LockAcquisitionException: could not execute batch\"",\""message\"":\""could not execute batch; SQL [update dbo.FOLDER_ATTRIBUTES set tenant_id=?, updated_by=?, updated_on=?, version=?, file_id=?, folder_count=? where id=? and version=?]; nested exception is org.hibernate.exception.LockAcquisitionException: could not execute batch\"",\""name\"":\""org.springframework.dao.CannotAcquireLockException\"",\""cause\"":{\""commonElementCount\"":55,\""localizedMessage\"":\""could not execute batch\"",\""message\"":\""could not execute batch\"",\""name\"":\""org.hibernate.exception.LockAcquisitionException\"",\""cause\"":{\""commonElementCount\"":55,\""localizedMessage\"":\""Transaction (Process ID 4075) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction.\"",\""message\"":\""Transaction (Process ID 4075) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction.\"",\""name\"":\""com.microsoft.sqlserver.jdbc.SQLServerException\"",\""extendedStackTrace\"":[{\""class\"":\""com.microsoft.sqlserver.jdbc.SQLServerException\"",\""method\"":\""makeFromDatabaseError\"",\""file\"":\""SQLServerException.java\"",\""line\"":262,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.microsoft.sqlserver.jdbc.SQLServerStatement\"",\""method\"":\""getNextResult\"",\""file\"":\""SQLServerStatement.java\"",\""line\"":1632,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.microsoft.sqlserver.jdbc.SQLServerPreparedStatement\"",\""method\"":\""doExecutePreparedStatementBatch\"",\""file\"":\""SQLServerPreparedStatement.java\"",\""line\"":2814,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.microsoft.sqlserver.jdbc.SQLServerPreparedStatement$PrepStmtBatchExecCmd\"",\""method\"":\""doExecute\"",\""file\"":\""SQLServerPreparedStatement.java\"",\""line\"":2678,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.microsoft.sqlserver.jdbc.TDSCommand\"",\""method\"":\""execute\"",\""file\"":\""IOBuffer.java\"",\""line\"":7375,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.microsoft.sqlserver.jdbc.SQLServerConnection\"",\""method\"":\""executeCommand\"",\""file\"":\""SQLServerConnection.java\"",\""line\"":3206,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.microsoft.sqlserver.jdbc.SQLServerStatement\"",\""method\"":\""executeCommand\"",\""file\"":\""SQLServerStatement.java\"",\""line\"":247,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.microsoft.sqlserver.jdbc.SQLServerStatement\"",\""method\"":\""executeStatement\"",\""file\"":\""SQLServerStatement.java\"",\""line\"":222,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.microsoft.sqlserver.jdbc.SQLServerPreparedStatement\"",\""method\"":\""executeBatch\"",\""file\"":\""SQLServerPreparedStatement.java\"",\""line\"":2079,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.apache.commons.dbcp2.DelegatingStatement\"",\""method\"":\""executeBatch\"",\""file\"":\""DelegatingStatement.java\"",\""line\"":242,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.apache.commons.dbcp2.DelegatingStatement\"",\""method\"":\""executeBatch\"",\""file\"":\""DelegatingStatement.java\"",\""line\"":242,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.batch.internal.BatchingBatch\"",\""method\"":\""performExecution\"",\""file\"":\""BatchingBatch.java\"",\""line\"":121,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.batch.internal.BatchingBatch\"",\""method\"":\""doExecuteBatch\"",\""file\"":\""BatchingBatch.java\"",\""line\"":106,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.batch.internal.AbstractBatchImpl\"",\""method\"":\""execute\"",\""file\"":\""AbstractBatchImpl.java\"",\""line\"":148,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.internal.JdbcCoordinatorImpl\"",\""method\"":\""executeBatch\"",\""file\"":\""JdbcCoordinatorImpl.java\"",\""line\"":198,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.spi.ActionQueue\"",\""method\"":\""executeActions\"",\""file\"":\""ActionQueue.java\"",\""line\"":633,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.spi.ActionQueue\"",\""method\"":\""lambda$executeActions$1\"",\""file\"":\""ActionQueue.java\"",\""line\"":478,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""java.util.LinkedHashMap\"",\""method\"":\""forEach\"",\""file\"":\""LinkedHashMap.java\"",\""line\"":684,\""exact\"":false,\""location\"":\""?\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.spi.ActionQueue\"",\""method\"":\""executeActions\"",\""file\"":\""ActionQueue.java\"",\""line\"":475,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.event.internal.AbstractFlushingEventListener\"",\""method\"":\""performExecutions\"",\""file\"":\""AbstractFlushingEventListener.java\"",\""line\"":348,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.event.internal.DefaultFlushEventListener\"",\""method\"":\""onFlush\"",\""file\"":\""DefaultFlushEventListener.java\"",\""line\"":40,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.event.service.internal.EventListenerGroupImpl\"",\""method\"":\""fireEventOnEachListener\"",\""file\"":\""EventListenerGroupImpl.java\"",\""line\"":102,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.internal.SessionImpl\"",\""method\"":\""doFlush\"",\""file\"":\""SessionImpl.java\"",\""line\"":1362,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.internal.SessionImpl\"",\""method\"":\""managedFlush\"",\""file\"":\""SessionImpl.java\"",\""line\"":453,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.internal.SessionImpl\"",\""method\"":\""flushBeforeTransactionCompletion\"",\""file\"":\""SessionImpl.java\"",\""line\"":3212,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.internal.SessionImpl\"",\""method\"":\""beforeTransactionCompletion\"",\""file\"":\""SessionImpl.java\"",\""line\"":2380,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.internal.JdbcCoordinatorImpl\"",\""method\"":\""beforeTransactionCompletion\"",\""file\"":\""JdbcCoordinatorImpl.java\"",\""line\"":447,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorImpl\"",\""method\"":\""beforeCompletionCallback\"",\""file\"":\""JdbcResourceLocalTransactionCoordinatorImpl.java\"",\""line\"":183,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorImpl\"",\""method\"":\""access$300\"",\""file\"":\""JdbcResourceLocalTransactionCoordinatorImpl.java\"",\""line\"":40,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorImpl$TransactionDriverControlImpl\"",\""method\"":\""commit\"",\""file\"":\""JdbcResourceLocalTransactionCoordinatorImpl.java\"",\""line\"":281,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.transaction.internal.TransactionImpl\"",\""method\"":\""commit\"",\""file\"":\""TransactionImpl.java\"",\""line\"":101,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.orm.hibernate5.HibernateTransactionManager\"",\""method\"":\""doCommit\"",\""file\"":\""HibernateTransactionManager.java\"",\""line\"":643,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.support.AbstractPlatformTransactionManager\"",\""method\"":\""processCommit\"",\""file\"":\""AbstractPlatformTransactionManager.java\"",\""line\"":743,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.support.AbstractPlatformTransactionManager\"",\""method\"":\""commit\"",\""file\"":\""AbstractPlatformTransactionManager.java\"",\""line\"":711,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.interceptor.TransactionAspectSupport\"",\""method\"":\""commitTransactionAfterReturning\"",\""file\"":\""TransactionAspectSupport.java\"",\""line\"":654,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.interceptor.TransactionAspectSupport\"",\""method\"":\""invokeWithinTransaction\"",\""file\"":\""TransactionAspectSupport.java\"",\""line\"":407,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.interceptor.TransactionInterceptor\"",\""method\"":\""invoke\"",\""file\"":\""TransactionInterceptor.java\"",\""line\"":119,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.aop.framework.ReflectiveMethodInvocation\"",\""method\"":\""proceed\"",\""file\"":\""ReflectiveMethodInvocation.java\"",\""line\"":186,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.aop.framework.JdkDynamicAopProxy\"",\""method\"":\""invoke\"",\""file\"":\""JdkDynamicAopProxy.java\"",\""line\"":215,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.sun.proxy.$Proxy225\"",\""method\"":\""createDirectory\"",\""line\"":-1,\""exact\"":false,\""location\"":\""?\"",\""version\"":\""?\""},{\""class\"":\""com.automationanywhere.serverrepository.cr.service.impl.CRFileServiceImplV2\"",\""method\"":\""createDirectory\"",\""file\"":\""CRFileServiceImplV2.java\"",\""line\"":471,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""com.automationanywhere.serverrepository.resource.FolderResourceV2\"",\""method\"":\""createFolder\"",\""file\"":\""FolderResourceV2.java\"",\""line\"":109,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""spark.ResponseTransformerRouteImpl$1\"",\""method\"":\""handle\"",\""file\"":\""ResponseTransformerRouteImpl.java\"",\""line\"":47,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""spark.http.matching.Routes\"",\""method\"":\""execute\"",\""file\"":\""Routes.java\"",\""line\"":61,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""spark.http.matching.MatcherFilter\"",\""method\"":\""doFilter\"",\""file\"":\""MatcherFilter.java\"",\""line\"":130,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""}]},\""extendedStackTrace\"":[{\""class\"":\""org.hibernate.exception.internal.SQLStateConversionDelegate\"",\""method\"":\""convert\"",\""file\"":\""SQLStateConversionDelegate.java\"",\""line\"":120,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.exception.internal.StandardSQLExceptionConverter\"",\""method\"":\""convert\"",\""file\"":\""StandardSQLExceptionConverter.java\"",\""line\"":42,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.spi.SqlExceptionHelper\"",\""method\"":\""convert\"",\""file\"":\""SqlExceptionHelper.java\"",\""line\"":113,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.batch.internal.BatchingBatch\"",\""method\"":\""performExecution\"",\""file\"":\""BatchingBatch.java\"",\""line\"":131,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.batch.internal.BatchingBatch\"",\""method\"":\""doExecuteBatch\"",\""file\"":\""BatchingBatch.java\"",\""line\"":106,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.batch.internal.AbstractBatchImpl\"",\""method\"":\""execute\"",\""file\"":\""AbstractBatchImpl.java\"",\""line\"":148,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.internal.JdbcCoordinatorImpl\"",\""method\"":\""executeBatch\"",\""file\"":\""JdbcCoordinatorImpl.java\"",\""line\"":198,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.spi.ActionQueue\"",\""method\"":\""executeActions\"",\""file\"":\""ActionQueue.java\"",\""line\"":633,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.spi.ActionQueue\"",\""method\"":\""lambda$executeActions$1\"",\""file\"":\""ActionQueue.java\"",\""line\"":478,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""java.util.LinkedHashMap\"",\""method\"":\""forEach\"",\""file\"":\""LinkedHashMap.java\"",\""line\"":684,\""exact\"":false,\""location\"":\""?\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.spi.ActionQueue\"",\""method\"":\""executeActions\"",\""file\"":\""ActionQueue.java\"",\""line\"":475,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.event.internal.AbstractFlushingEventListener\"",\""method\"":\""performExecutions\"",\""file\"":\""AbstractFlushingEventListener.java\"",\""line\"":348,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.event.internal.DefaultFlushEventListener\"",\""method\"":\""onFlush\"",\""file\"":\""DefaultFlushEventListener.java\"",\""line\"":40,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.event.service.internal.EventListenerGroupImpl\"",\""method\"":\""fireEventOnEachListener\"",\""file\"":\""EventListenerGroupImpl.java\"",\""line\"":102,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.internal.SessionImpl\"",\""method\"":\""doFlush\"",\""file\"":\""SessionImpl.java\"",\""line\"":1362,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.internal.SessionImpl\"",\""method\"":\""managedFlush\"",\""file\"":\""SessionImpl.java\"",\""line\"":453,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.internal.SessionImpl\"",\""method\"":\""flushBeforeTransactionCompletion\"",\""file\"":\""SessionImpl.java\"",\""line\"":3212,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.internal.SessionImpl\"",\""method\"":\""beforeTransactionCompletion\"",\""file\"":\""SessionImpl.java\"",\""line\"":2380,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.jdbc.internal.JdbcCoordinatorImpl\"",\""method\"":\""beforeTransactionCompletion\"",\""file\"":\""JdbcCoordinatorImpl.java\"",\""line\"":447,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorImpl\"",\""method\"":\""beforeCompletionCallback\"",\""file\"":\""JdbcResourceLocalTransactionCoordinatorImpl.java\"",\""line\"":183,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorImpl\"",\""method\"":\""access$300\"",\""file\"":\""JdbcResourceLocalTransactionCoordinatorImpl.java\"",\""line\"":40,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorImpl$TransactionDriverControlImpl\"",\""method\"":\""commit\"",\""file\"":\""JdbcResourceLocalTransactionCoordinatorImpl.java\"",\""line\"":281,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.hibernate.engine.transaction.internal.TransactionImpl\"",\""method\"":\""commit\"",\""file\"":\""TransactionImpl.java\"",\""line\"":101,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.orm.hibernate5.HibernateTransactionManager\"",\""method\"":\""doCommit\"",\""file\"":\""HibernateTransactionManager.java\"",\""line\"":643,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.support.AbstractPlatformTransactionManager\"",\""method\"":\""processCommit\"",\""file\"":\""AbstractPlatformTransactionManager.java\"",\""line\"":743,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.support.AbstractPlatformTransactionManager\"",\""method\"":\""commit\"",\""file\"":\""AbstractPlatformTransactionManager.java\"",\""line\"":711,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.interceptor.TransactionAspectSupport\"",\""method\"":\""commitTransactionAfterReturning\"",\""file\"":\""TransactionAspectSupport.java\"",\""line\"":654,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.interceptor.TransactionAspectSupport\"",\""method\"":\""invokeWithinTransaction\"",\""file\"":\""TransactionAspectSupport.java\"",\""line\"":407,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.transaction.interceptor.TransactionInterceptor\"",\""method\"":\""invoke\"",\""file\"":\""TransactionInterceptor.java\"",\""line\"":119,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\""},{\""class\"":\""org.springframework.aop.framework.ReflectiveMethodInvocation\"",\""method\"":\""proceed\"",\""file\"":\""ReflectiveMethodInvocation.java\"",\""line\"":186,\""exact\"":false,\""location\"":\""kernel.jar\"",\""version\"":\""?\"""",""stream"":""stdout"",""time"":""2022-09-01T17:45:57.809159591Z""}","test-us-west-2-eks","test-us-west-2-eks","kernel-kernel","canary-kernel","test","ip-10-19-103-85.us-west-2.compute.internal","","Other","default","ip-10-19-103-85.us-west-2.compute.internal","canary-kernel-6cb79b8cbf-gbkpl","aws","us-west-2","canary-kernel_canary-kernel-internal","18384","logs","test/aws/us-west-2/k8s/default/canary-kernel","44.232.204.179","default_canary-kernel-6cb79b8cbf-gbkpl_kernel-kernel","infrequent"
"1662054357806","09/01/2022 10:45:57.806 -0700","{""timestamp"":1662054357806,""log"":{""instant"":{""epochSecond"":1662054357,""nanoOfSecond"":806625000},""thread"":""cr-jetty-455"",""level"":""ERROR"",""loggerName"":""com.automationanywhere.common.exceptions.helper.ResponseMapper"",""message"":""org.springframework.dao.CannotAcquireLockException: could not execute batch; SQL [update dbo.FOLDER_ATTRIBUTES set tenant_id=?, updated_by=?, updated_on=?, version=?, file_id=?, folder_count=? where id=? and version=?]; nested exception is org.hibernate.exception.LockAcquisitionException: could not execute batch"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""contextMap"":{""NewRelic:entity.guid"":""Mjg2MDU5MXxBUE18QVBQTElDQVRJT058NzgzNTUzODU3"",""NewRelic:entity.name"":""canary-kernel"",""NewRelic:entity.type"":""SERVICE"",""NewRelic:hostname"":""canary-kernel-6cb79b8cbf-gbkpl"",""NewRelic:span.id"":""9ad2120eecc9d27d"",""NewRelic:trace.id"":""c330161a424e9eb9f5bb1c9602f8ebc6""},""threadId"":455,""threadPriority"":5},""stream"":""stdout"",""time"":""2022-09-01T17:45:57.806778376Z""}","test-us-west-2-eks","test-us-west-2-eks","kernel-kernel","canary-kernel","test","ip-10-19-103-85.us-west-2.compute.internal","ERROR","Other","default","ip-10-19-103-85.us-west-2.compute.internal","canary-kernel-6cb79b8cbf-gbkpl","aws","us-west-2","canary-kernel_canary-kernel-internal","1014","logs","test/aws/us-west-2/k8s/default/canary-kernel","44.232.204.179","default_canary-kernel-6cb79b8cbf-gbkpl_kernel-kernel","infrequent"
"1662054357803","09/01/2022 10:45:57.803 -0700","{""timestamp"":1662054357803,""log"":{""instant"":{""epochSecond"":1662054357,""nanoOfSecond"":802771000},""thread"":""cr-jetty-455"",""level"":""ERROR"",""loggerName"":""org.hibernate.engine.jdbc.batch.internal.BatchingBatch"",""message"":""HHH000315: Exception executing batch [com.microsoft.sqlserver.jdbc.SQLServerException: Transaction (Process ID 4075) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction.], SQL: update dbo.FOLDER_ATTRIBUTES set tenant_id=?, updated_by=?, updated_on=?, version=?, file_id=?, folder_count=? where id=? and version=?"",""endOfBatch"":false,""loggerFqcn"":""org.hibernate.internal.CoreMessageLogger_$logger"",""contextMap"":{""NewRelic:entity.guid"":""Mjg2MDU5MXxBUE18QVBQTElDQVRJT058NzgzNTUzODU3"",""NewRelic:entity.name"":""canary-kernel"",""NewRelic:entity.type"":""SERVICE"",""NewRelic:hostname"":""canary-kernel-6cb79b8cbf-gbkpl"",""NewRelic:span.id"":""9ad2120eecc9d27d"",""NewRelic:trace.id"":""c330161a424e9eb9f5bb1c9602f8ebc6""},""threadId"":455,""threadPriority"":5},""stream"":""stdout"",""time"":""2022-09-01T17:45:57.802929186Z""}","test-us-west-2-eks","test-us-west-2-eks","kernel-kernel","canary-kernel","test","ip-10-19-103-85.us-west-2.compute.internal","ERROR","Other","default","ip-10-19-103-85.us-west-2.compute.internal","canary-kernel-6cb79b8cbf-gbkpl","aws","us-west-2","canary-kernel_canary-kernel-internal","1078","logs","test/aws/us-west-2/k8s/default/canary-kernel","44.232.204.179","default_canary-kernel-6cb79b8cbf-gbkpl_kernel-kernel","infrequent"
