Plan name:,AUTOMATION ANYWHERE ,,,
Date Range,08/01/2019 - 03/16/2023,,,
,,,,
,,,,
Date,Investment,Transaction Type,Amount,Shares/Unit
11/29/2019,MM BLUE CHIP GR I,Contributions,133.34,5.492
11/29/2019,J H ENTERPRISE IS,Contributions,133.33,1.591
11/29/2019,FID FREEDOM INCOME,Contributions,133.33,11.309
11/29/2019,FID FREEDOM 2035,Contributions,133.34,8.854
11/29/2019,FID 500 INDEX,Contributions,133.33,1.218
11/18/2019,MM BLUE CHIP GR I,Contributions,133.34,5.605
11/18/2019,J H ENTERPRISE IS,Contributions,133.33,1.607
11/18/2019,FID FREEDOM INCOME,Contributions,133.33,11.328
11/18/2019,FID FREEDOM 2035,Contributions,133.34,8.889
11/18/2019,FID 500 INDEX,Contributions,133.33,1.226
11/8/2019,FID FREEDOM INCOME,Dividend,0.18,0.015
10/31/2019,MM BLUE CHIP GR I,Contributions,133.34,5.76
10/31/2019,J H ENTERPRISE IS,Contributions,133.33,1.654
10/31/2019,FID FREEDOM INCOME,Contributions,133.33,11.347
10/31/2019,FID FREEDOM 2035,Contributions,133.34,9.095
10/31/2019,FID 500 INDEX,Contributions,133.33,1.262
10/16/2019,FID FREEDOM 2035,Contributions,666.67,46.264
9/30/2019,FID FREEDOM 2035,Contributions,666.67,46.653
9/16/2019,FID FREEDOM 2035,Contributions,666.67,46.104
,,,101962.71,
